test case,mean,stddev,median,none,none2,none3,none4
u_7d_16b_10.svp,0.000667164955976278,0.00008797312943189361,0.00065275,0.00018203740875912338,0.00032011587591240976,0.0006132920000000001,0.0031200000000000004
u_2d_16b_5.svp,0.0006466530415730358,0.0000319798996015943,0.0006372915000000001,0.00017132157303370558,0.0003148937078651696,0.000603,0.0011252080000000002
u_14d_32b_20.svp,0.0008205013467142425,0.0005092757190384188,0.0007930420000000001,0.00031848706512042403,0.00032006452572108223,0.000749375,0.028911625000000003
u_3d_8b_12.svp,0.0006574336083258745,0.00018935447581721506,0.0006385625,0.00017356177260518905,0.00031737063563115554,0.000602458,0.010346250000000001
u_6d_32b_19.svp,0.0006541336484731895,0.000034457115184381685,0.0006450000000000001,0.0001780930512142321,0.0003148860302957452,0.000608958,0.0014689170000000001
u_12d_16b_19.svp,0.0007291014733622246,0.00012611015896564444,0.000713958,0.0002431325516186602,0.0003161779250573554,0.000676584,0.004343375
u_6d_32b_25.svp,0.0006574326323930863,0.00005412033016938056,0.000646875,0.00017853707916287375,0.00031578161965423174,0.0006065,0.002795
u_18d_8b_9.svp,0.000998594297188756,0.00011721874383983456,0.0009830630000000002,0.0004987021419009389,0.00032338386880856763,0.000937917,0.003536
u_12d_16b_25.svp,0.0007147966619150083,0.00003388321758954738,0.0007060005,0.00023172996234534392,0.0003177369553523405,0.000665708,0.0009884590000000001
u_11d_32b_19.svp,0.0006998434873308739,0.00011343348816325068,0.0006834170000000001,0.0002146447724477257,0.00031748339483394963,0.000646458,0.0042384580000000005
u_3d_32b_20.svp,0.0006520551453424365,0.00011188481251027946,0.000636459,0.00017301915877559633,0.00031449570579167747,0.000603125,0.0047983750000000006
u_5d_16b_19.svp,0.0006510481689704465,0.00003300681483604234,0.0006418750000000001,0.00017467111534794685,0.00031544899904671235,0.0006042920000000001,0.001117584
u_10d_8b_11.svp,0.0006778620309927375,0.00010622156074566436,0.000662708,0.00019411694915254417,0.00031684479418886283,0.000629333,0.004472083
u_17d_16b_20.svp,0.0009818165008824568,0.00013257920591484682,0.000962292,0.00047917366749029573,0.00032405894811154295,0.0009152920000000001,0.003926667
u_11d_32b_25.svp,0.0006925666659436003,0.00003270022005557426,0.0006828330000000001,0.00021338900939985644,0.0003149419137141489,0.0006483750000000001,0.0010295830000000001
u_5d_16b_25.svp,0.0006554987109798146,0.00010169180637333464,0.0006408750000000001,0.000175697193500735,0.0003150088626292484,0.000605583,0.00338175
u_10d_8b_5.svp,0.0006934100910146285,0.000044867452762522694,0.00068375,0.00021354399814255937,0.0003154759693522182,0.000646875,0.0026679580000000002
u_16d_32b_15.svp,0.000869142559736595,0.0001262077882086698,0.0008551250000000001,0.0003756616494198794,0.0003191458137347129,0.0008151250000000001,0.0051745
u_2d_16b_15.svp,0.0006512266312040942,0.00009987928269764394,0.0006367920000000001,0.00017176318718005584,0.00031571622523926237,0.000601917,0.004473958
u_5d_8b_19.svp,0.0006502809615215473,0.00003127077783943959,0.0006405,0.00017498306948108647,0.00031429331574318577,0.000608875,0.0011832090000000002
u_6d_8b_9.svp,0.0006589787887034082,0.00010138191097479339,0.0006443750000000001,0.00017706174251085988,0.00031661216556140126,0.000608041,0.004635167
u_11d_16b_6.svp,0.0006933189407527891,0.00004869796199207634,0.000683125,0.00021397211895910964,0.00031446328996282666,0.000647208,0.0031062090000000004
u_4d_32b_10.svp,0.0006552884840848827,0.00012834334305785575,0.000638917,0.00017442793987621164,0.00031466445623342277,0.0006050000000000001,0.006316042
u_5d_8b_25.svp,0.0006656316782110083,0.00024142284100444548,0.000641917,0.00017672362385320824,0.0003176330275229374,0.000607333,0.013091625
